date,symbol,person,role,type,shares,rate
2026-07-24,MACTER,Asif Misbah,Executive,SELL,475000,400
2026-07-23,PKGS,SYED BABAR ALI,Executive,BUY,21519,785
2026-07-23,PKGS,SYED HYDER ALI,Executive,BUY,31633,782.33
2026-07-23,PKGS,PERWIN BABAR ALI,Spouse,BUY,1407,781.5
2026-07-23,WAHDAT,Abdul Rehman Arraich,Independent Director,BUY,10000,16.21
2026-07-23,ICIBL,Muhammad Asif,Director,BUY,500,20.4
2026-07-23,ICIBL,Zahir Qamar,Director,BUY,425,20.25
2026-07-23,CFL,Mansoor Riaz,Non-Executive Director,BUY,8540,55
2026-07-23,FATIMA,Abid Ali,Executive,BUY,1000,152.01
2026-07-22,TCORP,Faisal Abdul Sattar,Substantial Shareholder,BUY,15051,11.18
2026-07-22,WAHDAT,Abdul Rehman Arraich,Independent Director,BUY,25000,16.8
2026-07-22,PKGS,SYED HYDER ALI,Executive,BUY,5137634,785
2026-07-21,FML,Shabbir Ahmed,Non-Executive Director,SELL,39045,56.11
2026-07-21,EFUL,Saifuddin N. Zoomkavala,Non-Executive Director,SELL,390000,150.73
2026-07-21,SKRS,Dinshaw Hoshang,Director,SELL,11152878,20
2026-07-20,EFUL,Saifuddin N. Zoomkavala,Non-Executive Director,SELL,8000,150.78
2026-07-20,WAHDAT,Abdul Rehman Arraich,Independent Director,BUY,40000,17.3
2026-07-20,PKGS,SYED BABAR ALI,Executive,BUY,500,790
2026-07-20,FATIMA,Abid Ali,Executive,BUY,500,155.1
2026-07-17,TPLRF1,PL Properties Limited,Substantial Shareholder,SELL,2300000,10.14
2026-07-17,STYLERS,Naimat Saleem,Substantial Shareholder,SELL,7000000,24.7
2026-07-17,STYLERS,Naimat Saleem Trust,Substantial Shareholder,SELL,24000,24.69
2026-07-17,STYLERS,Naimat Saleem Trust,Substantial Shareholder,SELL,300000,24.63
2026-07-17,EFUL,Saifuddin N. Zoomkawala,Non-Executive Director,SELL,9,155.51
